
"RTB Lookup rate (ops/sec) - lin_sft.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 16646457.8590963, 17129401.05213, 17770582.4890083
0.60, 13011050.2867307, 13943219.36842, 14514400.2198117
0.90, 8361242.49430867, 8478095.634071, 8783421.22921634

"Distribution: Zipf=.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 20440336.688046, 21702534.3090233, 23178040.2725733
0.60, 15585997.5409127, 16895749.7814953, 18062260.6591763
0.90, 10839942.6966163, 11493714.979698, 12262276.3487583
