
"RTB Lookup rate (ops/sec) - x86_32_stl.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 16143819.9430057, 12989024.4780903, 12397684.5233633
0.60, 8988811.12540933, 7992659.53254533, 9186311.56905267
0.90, 6110415.065746, 5670243.33789333, 7260808.172264

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 19663434.5601567, 14904978.5345173, 14989533.1303823
0.60, 10189024.3886857, 9464375.40364233, 11137080.3224277
0.90, 7728663.444775, 6646374.76910067, 8960144.98220467
