
"RTB Lookup rate (ops/sec) - arm_32_acc_z99h90.txt"

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 64462225.707644
0.20, 59283261.878573
0.30, 50058021.905645
0.40, 43160155.876388
0.50, 35770209.901952
0.60, 32110080.900445
0.70, 23620150.763973
0.80, 15841942.517348
0.90, 9134026.142542

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 90%
0.10, 30421153.210635
0.20, 29139317.386386
0.30, 26592381.813346
0.40, 24394464.841679
0.50, 22295879.537587
0.60, 20835986.781320
0.70, 17137892.289127
0.80, 12793470.474579
0.90, 8238597.234424
