
"RTB Lookup rate (ops/sec) - arm_32_acc.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 59222447.010814, 59244942.174975, 59264776.445460
0.60, 32088723.340602, 32092048.646339, 32108986.819552
0.90, 9127662.164425, 9131111.643963, 9134143.167156

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 59268886.507795, 59273673.397149, 59281857.459240
0.60, 32090435.223174, 32100466.342791, 32110586.334594
0.90, 9128127.651038, 9130506.216151, 9134137.063670

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 28853658.599901, 28862411.641197, 28867720.488248
0.60, 20815688.438591, 20819793.162489, 20823347.010784
0.90, 8233269.063020, 8235641.952827, 8237883.860230

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 29445642.422669, 29291827.186433, 29140326.388135
0.60, 20747785.318674, 20793646.808979, 20837434.606409
0.90, 8233822.035644, 8236498.165939, 8238704.780482
