
"RTB Lookup rate (ops/sec) - arm_32_sft.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 5002343.333443, 4950257.628913, 4989136.536376
0.60, 3898828.419845, 4178260.292282, 4551749.574076
0.90, 1102966.656367, 1549055.728126, 2601403.581559

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 6178141.573590, 6014680.928857, 6178994.489231
0.60, 4847575.936301, 5055137.712212, 5527878.371966
0.90, 1378838.893097, 1885334.540086, 3144403.360196

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 3160038.873333, 3141498.299080, 3162730.702994
0.60, 2373819.516419, 2596300.401553, 2886625.307322
0.90, 579328.826237, 833377.451722, 1485901.944189

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 4283511.113347, 4165251.151456, 4305338.461000
0.60, 3189871.918772, 3383394.423415, 3810512.734531
0.90, 754948.075408, 1059727.656591, 1902922.976227
