
"RTB Lookup rate (ops/sec) - arm_32_stl.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 5024779.527561, 3923151.864803, 3271539.960522
0.60, 3370416.230975, 3093157.830203, 2942148.676089
0.75, 3013155.530215, 2880184.795787, 2824456.355610

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 6957071.175364, 5385600.015903, 4645759.937333
0.60, 4476380.499514, 4075946.399094, 4037811.431251
0.75, 4043661.912841, 3789921.573907, 3877992.366299

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 2574573.809242, 1970569.909533, 1616425.640638
0.60, 1697709.464089, 1556344.461132, 1454971.660202
0.75, 1527198.573190, 1455382.697206, 1406138.639763

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 3786091.261630, 2821495.004929, 2388894.265794
0.60, 2395098.531228, 2143443.309767, 2072540.724347
0.75, 2149198.479249, 1997974.615375, 1993109.267834
