
"RTB Lookup rate (ops/sec) - stand_stl.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 3382542.628931, 3280337.244388, 3175525.780809
0.60, 2961352.292154, 2933133.250012, 2912989.983324
0.75, 2848524.866025, 2826205.287480, 2828364.162778

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 4604497.725025, 4582090.626513, 4577503.714486
0.60, 3860197.283115, 3955601.864829, 4060637.719570
0.75, 3658221.787150, 3802899.752008, 3934492.997033

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 1674322.101798, 1616739.884403, 1559393.969529
0.60, 1471484.850600, 1456051.376085, 1437210.745370
0.75, 1412817.555421, 1405644.187918, 1395815.911445

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate %", 82.00, 90.00, 98.00
0.20, 2364397.423097, 2350239.941350, 2335629.297166
0.60, 1981256.757672, 2027239.345027, 2084479.956012
0.75, 1879022.793564, 1946127.982475, 2015597.562210
